person_id,trip_id,trip_purpose,mode_detailed,travel_time_min,distance_km,departure_hour,weekday,is_holiday,age_band,gender,income_quintile,has_driving_license,n_cars_household,weight_trip,weight_person,city,is_peak,chosen_mode,n_transfers,has_transfer,n_legs
2023009631,2023109722,1,10,60.0,11.265408,0,3,4,8,1,1,0,0,0.98629808900313,0.91683938035215,London,0,pt,0,0,1
2023007220,2023083399,1,10,40.0,17.702784,23,5,3,6,2,5,0,3,1.03208382279236,1.14397280395819,London,0,pt,0,0,1
2023000996,2023011523,1,10,15.0,3.3796224000000006,0,1,3,6,1,3,0,0,1.46132423817452,1.43169261216758,London,0,pt,0,0,1
2023008133,2023092873,1,10,47.0,6.759244800000001,-1,5,4,5,2,2,0,1,1.39661300643455,1.3083426303175,London,0,pt,2,1,3
2023014646,2023170543,1,10,60.0,24.944832,-1,3,3,5,2,5,1,4,0.69194009212212,0.69899773371049,London,0,pt,1,1,2
2023002887,2023033439,1,2,30.0,8.851392,5,4,4,5,1,4,0,1,1.67850604806523,1.28677363830995,London,0,bike,0,0,1
2023000323,2023003673,1,7,35.0,24.14016,5,1,3,8,2,5,1,2,1.07355324954498,1.14280011246131,London,0,pt,1,1,2
2023010282,2023118043,1,3,31.0,20.921472,5,2,3,8,1,2,1,2,0.5370433429708,0.58719010999359,London,0,car,0,0,1
2023011915,2023138347,1,7,45.0,5.954572800000001,6,2,4,6,1,2,1,1,1.56417045078107,1.25460945638458,London,1,pt,0,0,1
2023014242,2023165626,1,10,20.0,3.218688,6,4,3,5,1,5,1,0,1.48170822929526,1.27256464048472,London,1,pt,0,0,1
2023010303,2023118288,1,7,60.0,16.09344,6,2,3,4,1,5,0,1,0.85836234085946,0.732045400974,London,1,pt,0,0,1
2023011690,2023135648,1,3,13.0,4.828032,6,5,3,9,2,4,1,2,0.42558917479409,0.50002187842164,London,1,car,0,0,1
2023008600,2023097922,1,3,60.0,11.587276800000001,7,4,4,6,2,5,1,2,0.85420680281218,0.87145931139142,London,1,car,0,0,1
2023016392,2023190607,1,10,80.0,28.968192000000002,7,3,3,6,1,2,0,0,1.0528322828088,0.92952274213803,London,1,pt,1,1,2
2023002377,2023027430,1,3,45.0,12.874752,7,3,3,7,1,5,1,1,1.13351490111895,1.03726021083737,London,1,car,0,0,1
2023012523,2023144866,1,10,30.0,20.921472,7,2,4,7,1,5,1,1,0.54820443384836,0.54612309465553,London,1,pt,0,0,1
2023012215,2023141706,1,3,50.0,9.656064,7,1,4,6,1,5,1,2,0.87316587798919,0.7465645193962,London,1,car,0,0,1
2023001855,2023021622,1,3,20.0,7.563916800000001,7,2,3,8,2,1,1,1,1.04463145808913,1.07033183753998,London,1,car,0,0,1
2023008618,2023098149,1,7,10.0,2.414016,7,1,2,9,1,5,1,0,0.78349733732261,0.79420386581788,London,1,pt,0,0,1
2023013950,2023162335,1,10,45.0,24.14016,7,4,3,8,1,4,0,0,0.9068843735353,0.95056010840935,London,1,pt,0,0,1
2023010299,2023118246,1,3,10.0,3.218688,8,5,3,6,1,5,1,1,0.94831862151422,0.732045400974,London,1,car,0,0,1
2023015283,2023178340,1,10,40.0,16.09344,8,1,3,5,1,5,1,0,1.62633060935731,1.33525711636483,London,1,pt,0,0,1
2023001614,2023018893,1,10,45.0,9.656064,8,1,3,5,2,2,0,1,1.9667920547753,1.7959153948711,London,1,pt,1,1,2
2023008133,2023092879,1,10,40.0,6.437376,8,3,4,5,2,2,0,1,1.45631877871632,1.3083426303175,London,1,pt,0,0,1
2023006275,2023071695,1,8,95.0,20.760537600000003,8,2,3,9,2,4,1,1,0.62927539404882,0.68099398323394,London,1,pt,1,1,2
2023007460,2023085909,1,3,15.0,4.828032,8,4,3,7,1,2,1,0,1.51363412238475,1.55670095023826,London,1,car,0,0,1
2023000420,2023004971,1,10,67.0,9.977932800000001,8,5,3,6,2,5,0,0,1.46204353684771,1.37974157782634,London,1,pt,1,1,2
2023016691,2023193696,1,3,10.0,4.02336,8,3,3,8,1,4,1,1,0.96388408417978,0.97430013721733,London,1,car,0,0,1
2023009899,2023113244,1,3,20.0,8.04672,8,2,3,8,2,1,1,1,0.80253262438288,0.77300218845849,London,1,car,0,0,1
2023014394,2023167720,1,2,30.0,6.437376,8,1,3,7,1,5,1,0,1.35263850584686,1.35088945740059,London,1,bike,0,0,1
2023011249,2023130883,1,3,20.0,4.828032,8,5,3,6,2,4,1,2,0.62684141411691,0.57708876352892,London,1,car,0,0,1
2023007960,2023091233,1,3,30.0,24.14016,8,2,4,5,1,5,0,1,1.11950125374619,0.92550041869559,London,1,car,0,0,1
2023000008,2023000098,1,3,45.0,12.874752,8,1,3,8,1,5,1,2,1.11772971186922,1.07652029520778,London,1,car,0,0,1
2023005096,2023058199,1,10,45.0,12.874752,9,5,3,6,1,5,1,0,1.69173676493828,1.40019504713331,London,1,pt,0,0,1
2023015114,2023176263,1,10,50.0,14.484096000000001,9,4,3,5,1,5,1,0,0.75922732910613,0.82985120135025,London,1,pt,0,0,1
2023007320,2023084559,1,10,39.0,7.885785600000001,9,3,3,8,1,1,1,1,1.31668297546414,1.29568022983991,London,1,pt,1,1,2
2023011420,2023132932,1,10,60.0,16.09344,9,5,3,7,1,2,1,0,0.68773051229057,0.65753549473564,London,1,pt,0,0,1
2023003196,2023037001,1,7,30.0,6.437376,9,4,4,7,2,1,0,1,1.55608932215223,1.20421713682957,London,1,pt,0,0,1
2023017005,2023197333,1,7,20.0,3.218688,9,1,3,9,2,1,0,0,0.83751135012043,0.78814924209272,London,1,pt,0,0,1
2023009899,2023113245,1,3,20.0,8.04672,13,2,3,8,2,1,1,1,0.80253262438288,0.77300218845849,London,0,car,0,0,1
2023007455,2023085854,1,2,10.0,1.609344,14,3,4,8,1,5,0,3,2.21351777385932,2.00433173645806,London,0,bike,0,0,1
2023000004,2023000081,1,3,30.0,16.09344,15,3,3,8,1,3,1,2,1.05823723270092,0.97713206611482,London,0,car,0,0,1
2023005094,2023058173,1,7,30.0,2.414016,15,3,3,9,2,2,0,0,1.54221155127645,1.38281006484146,London,0,pt,0,0,1
2023016388,2023190578,1,3,65.0,24.14016,16,3,3,8,2,1,1,1,1.16560312498392,1.14113421005076,London,1,car,0,0,1
2023016829,2023195457,1,10,50.0,25.749504,17,3,3,5,2,2,0,1,1.18895708484682,1.15625075519373,London,1,pt,1,1,2
2023004709,2023053854,1,2,10.0,1.609344,17,3,3,8,1,4,1,1,1.34643518230767,1.17491874747994,London,1,bike,0,0,1
2023006209,2023070828,1,7,40.0,9.656064,17,1,3,5,1,1,0,1,2.4399250824797,1.89210160612461,London,1,pt,0,0,1
2023014022,2023163199,1,3,25.0,16.09344,17,4,3,6,2,4,1,2,0.68165452971009,0.77808833624485,London,1,car,0,0,1
2023009249,2023105734,1,3,90.0,25.749504,17,2,4,9,1,5,1,4,0.60266569613905,0.61684331406725,London,1,car,0,0,1
2023011834,2023137537,1,7,20.0,4.828032,17,2,4,5,2,1,0,0,0.95772872917121,0.75997566236551,London,1,pt,0,0,1
2023000087,2023000784,1,3,45.0,22.530816,17,4,3,7,2,2,1,2,1.00052307903972,1.00534572166258,London,1,car,0,0,1
2023001613,2023018878,1,3,30.0,4.828032,17,3,3,7,2,2,1,1,1.9667920547753,1.7959153948711,London,1,car,0,0,1
2023001969,2023023000,1,3,20.0,4.828032,18,5,3,8,1,4,1,1,0.89398039202607,0.91523916806334,London,1,car,0,0,1
2023008086,2023092488,1,10,30.0,16.09344,18,5,4,6,2,5,1,1,0.80695705179066,0.74114172877384,London,1,pt,1,1,2
2023004681,2023053584,1,7,50.0,11.265408,18,1,3,6,2,3,1,0,0.90060256193077,0.8648166222611,London,1,pt,0,0,1
2023014394,2023167717,1,2,30.0,6.437376,18,5,3,7,1,5,1,0,1.29718338998216,1.35088945740059,London,1,bike,0,0,1
2023001525,2023017804,1,2,30.0,7.081113600000001,18,5,4,7,2,5,1,1,1.44573158327573,1.30598325671161,London,1,bike,0,0,1
2023002883,2023033399,1,7,45.0,6.437376,18,4,4,9,2,5,0,1,1.48887339032417,1.34680247094007,London,1,pt,0,0,1
2023015292,2023178391,1,7,25.0,6.437376,21,5,3,5,2,4,0,0,1.52084019005849,1.38432001747334,London,0,pt,0,0,1
2023012501,2023144716,1,10,30.0,4.828032,22,2,3,5,2,4,0,0,1.54814062889887,1.32813881821462,London,0,pt,0,0,1
2023007961,2023091234,1,7,90.0,40.2336,5,3,4,6,2,5,0,1,1.01330680950493,0.92550041869559,London,0,pt,0,0,1
2023016391,2023190595,1,7,30.0,9.656064,5,2,3,5,2,2,0,0,0.99370148175958,0.92952274213803,London,0,pt,0,0,1
